States_Union Territories,2001 - POP,2011- POP,2001 - LIT,2011- LIT,Area (km2)
Andaman and Nicobar Islands,356,381,81.3,86.63,"8,249"
Andhra Pradesh,76210,84581,60.47,67.02,"160,205"
Arunachal Pradesh,1098,1384,54.34,65.39,"83,743"
Assam,26656,31206,63.25,72.19,"78,438"
Bihar,82999,104099,47,61.8,"94,163"
Chandigarh,901,1055,81.94,86.05,114
Chhattisgarh,20834,25545,64.66,70.28,"135,191"
Delhi,13851,16788,57.63,76.24,"1,483"
Goa,1348,1459,78.18,87.1,"3,702"
Gujarat,50671,60440,81.67,86.21,"196,024"
Haryana,21145,25351,82.01,88.7,"44,212"
Himachal Pradesh,6078,6865,69.14,78.03,"55,673"
Jammu and Kashmir,10144,12541,67.91,75.55,"42,241"
Jharkhand,26946,32988,76.48,82.8,"79,714"
Karnataka,52851,61095,55.52,67.16,"191,791"
Kerala,31841,33406,53.56,66.41,"38,863"
Madhya Pradesh,60348,72627,66.6,75.37,"308,252"
Maharashtra,96879,112374,90.86,94,"307,713"
Manipur,2294,2856,86.66,91.85,"22,327"
Meghalaya,2319,2967,63.74,69.32,"22,429"
Mizoram,889,1097,76.88,82.34,"21,081"
Nagaland,1990,1979,70.5,76.9,"16,579"
Odisha,36805,41974,62.56,74.43,"155,707"
Puducherry,974,1248,88.8,91.33,479
Punjab,24359,27743,66.59,79.6,"50,362"
Rajasthan,56507,68548,63.08,72.89,"342,239"
Sikkim,541,611,81.24,85.85,"7,096"
Tamil Nadu,62406,72147,69.65,75.84,"130,058"
Tripura,3199,3674,68.81,81.42,"10,486"
Uttar Pradesh,166198,199812,73.45,80.09,"240,928"
Uttarakhand,8489,10086,73.19,87.22,"53,483"
West Bengal,80176,91276,56.27,67.68,"88,752"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
